Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2020/10/04,"to-read, physical-tbr","to-read (#4), physical-tbr (#2)",to-read,,,,0,0
37435,The Secret Life of Bees,Sue Monk Kidd,"Kidd, Sue Monk",,"=""0142001740""","=""9780142001745""",0,4.10,Penguin Books,Paperback,302,2003,2001,,2020/10/04,"to-read, physical-tbr","to-read (#2), physical-tbr (#1)",to-read,,,,0,0
195790847,A Sorceress Comes to Call,T. Kingfisher,"Kingfisher, T.",,"=""1250244072""","=""9781250244079""",3,4.05,Tor Books,Hardcover,321,2024,2024,2024/10/02,2024/05/23,,,read,"Loved Cordelia, loved Hester, loved everyone really but this didn’t flow the way T. Kingfisher’s books normally do. 3.5",,,1,0
53029302,"Kiki's Delivery Service (Kiki's Delivery Service, #1)",Eiko Kadono,"Kadono, Eiko",Emily Balistrieri,"=""1984896660""","=""9781984896667""",0,4.15,Delacorte Press,Hardcover,193,2020,1985,,2024/09/27,to-read,to-read (#396),to-read,,,,0,0
214986233,The Love Variations: A Novel,Victoria  Lee,"Lee, Victoria",,"=""0593500539""","=""9780593500538""",0,0.0,Dell,Paperback,304,2026,,,2024/08/15,to-read,to-read (#377),to-read,,,,0,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",4,4.13,William Morrow Paperbacks,Paperback,208,2006,2002,2024/09/26,2023/05/19,,,read,,,,1,0
49083140,Boy Parts,Eliza  Clark,"Clark, Eliza",,"=""1910312649""","=""9781910312643""",0,3.72,Influx Press,ebook,304,2020,2020,,2024/09/21,to-read,to-read (#394),to-read,,,,0,0
11016,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",,"=""""","=""""",0,4.16,Penguin Classics,Paperback,578,2006,1847,,2024/09/12,to-read,to-read (#393),to-read,,,,0,0
33376821,Sweet Bean Paste,Durian Sukegawa,"Sukegawa, Durian",Alison  Watts,"=""1786071959""","=""9781786071958""",0,4.06,Oneworld Publications,Paperback,224,2017,2013,,2024/09/12,to-read,to-read (#392),to-read,,,,0,0
195791316,Loud: Accept Nothing Less Than the Life You Deserve,Drew Afualo,"Afualo, Drew",,"=""0374614059""","=""9780374614058""",0,4.30,AUWA,Hardcover,256,2024,2024,2024/09/08,2024/07/10,,,read,"Easy read with a good message, especially for teens coming into their own. Can totally see myself gifting this to my daughter when she’s older!",,,1,0
30119,Where the Sidewalk Ends,Shel Silverstein,"Silverstein, Shel",,"=""0060513039""","=""9780060513030""",0,4.35,Harpercollins Childrens Books,Hardcover,176,2002,1974,2024/08/31,2024/08/28,,,read,,,,1,0
55711706,Everyone in This Room Will Someday Be Dead,Emily R. Austin,"Austin, Emily R.",,"=""1982167351""","=""9781982167356""",5,3.85,Atria Books,Hardcover,256,2021,2021,2024/08/29,2022/09/03,24-in-24,24-in-24 (#12),read,,,,1,0
54661992,"Juice Like Wounds (Wayward Children, #4.5)",Seanan McGuire,"McGuire, Seanan",,"=""""","=""""",0,4.00,Tor Books,ebook,32,2020,2020,,2024/08/28,to-read,to-read (#391),to-read,,,,0,0
62203768,"In Mercy, Rain (Wayward Children, #7.5)",Seanan McGuire,"McGuire, Seanan",,"=""""","=""""",0,3.90,Tor Books,Kindle Edition,36,2022,2022,,2024/08/28,to-read,to-read (#390),to-read,,,,0,0
63068398,"Skeleton Song (Wayward Children, #7.7)",Seanan McGuire,"McGuire, Seanan",,"=""1250875137""","=""9781250875136""",0,4.00,Tor Books,ebook,32,2022,2022,,2024/08/28,to-read,to-read (#389),to-read,,,,0,0
57185878,"Adrift in Currents Clean and Clear (Wayward Children, #10)",Seanan McGuire,"McGuire, Seanan",,"=""""","=""""",0,4.01,Tordotcom,ebook,160,2025,2025,,2024/08/28,to-read,to-read (#388),to-read,,,,0,0
60784912,"Lost in the Moment and Found (Wayward Children, #8)",Seanan McGuire,"McGuire, Seanan",,"=""1250213649""","=""9781250213648""",0,4.31,Tordotcom,ebook,208,2023,2023,,2024/08/28,to-read,to-read (#387),to-read,,,,0,0
57693537,"Where the Drowned Girls Go (Wayward Children, #7)",Seanan McGuire,"McGuire, Seanan",,"=""1250213622""","=""9781250213624""",0,4.04,Tordotcom,Hardcover,150,2022,2022,,2024/08/28,to-read,to-read (#386),to-read,,,,0,0
53205924,"Across the Green Grass Fields (Wayward Children, #6)",Seanan McGuire,"McGuire, Seanan",,"=""1250213592""","=""9781250213594""",0,3.80,Tordotcom,Hardcover,174,2021,2021,,2024/08/28,to-read,to-read (#385),to-read,,,,0,0
208209822,Lifeform,Jenny Slate,"Slate, Jenny",,"=""0316263931""","=""9780316263931""",0,3.68,"Little, Brown and Company",Hardcover,240,2024,2024,,2024/08/23,to-read,to-read (#384),to-read,,,,0,0
207298106,The Third Gilmore Girl: A Memoir,Kelly  Bishop,"Bishop, Kelly",Amy Sherman-Palladino,"=""1668023776""","=""9781668023778""",0,4.32,Gallery Books,Hardcover,244,2024,2024,,2024/08/22,to-read,to-read (#383),to-read,,,,0,0
